trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-49.4525891094275,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-93.97030610914759,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-114.50133222258049,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-135.45024967934253,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-160.23532621290724,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-211.89442012676827,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-96.70087995933227,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,9,-248.29721463834525,"{0: 11, 1: 1, 2: 8, 3: 3, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-162.6216970140934,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-143.04598667666215,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-210.4006474113242,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,1,-63.0791200927246,"{0: 28, 1: 1, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-183.18632378757866,"{0: 15, 1: 4, 2: 6, 3: 4, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-99.32436240410277,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-130.18900603287466,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-110.79143856600177,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-156.46825822769293,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-100.59353495345991,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-105.84789418711347,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-187.7766138177174,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",20,0,-127.77704998293441,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-148.5076333742487,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-164.8119261830629,"{0: 19, 1: 4, 2: 2, 3: 3, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-45.63352816963344,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-135.36732495965086,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-82.21853962935214,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-195.08184630885916,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,0,-22.686207041736914,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,-296.0474858813277,"{0: 16, 1: 3, 2: 10, 3: 2, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",25,0,-135.99600945301046,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
