trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.003, 'e': 1.0}",20,0,-109.34672811750201,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.003, 'e': 0.997004495503373}",20,0,-147.1266901900763,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.003, 'e': 0.9940179640539353}",20,0,-42.903205347247116,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.003, 'e': 0.9910403787728836}",20,0,-48.741154950995934,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.003, 'e': 0.9880717128619305}",20,0,-61.211908642334556,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.003, 'e': 0.9851119396030626}",25,0,-132.05171982234236,"{0: 11, 1: 3, 2: 9, 3: 2, 4: 0}",0
7,False,"{'a': 0.003, 'e': 0.9821610323583008}",30,0,-127.50439684142869,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.003, 'e': 0.9792189645694596}",25,0,-75.03680321735627,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.003, 'e': 0.9762857097579093}",25,0,-54.4378957498401,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.003, 'e': 0.9733612415243368}",35,0,-206.2240902293251,"{0: 20, 1: 1, 2: 10, 3: 2, 4: 2}",0
11,False,"{'a': 0.003, 'e': 0.9704455335485082}",20,0,-199.71209291862817,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.003, 'e': 0.967538559589032}",20,0,-43.63932867508729,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.003, 'e': 0.9646402934831231}",20,0,-91.73462726075235,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.003, 'e': 0.9617507091463667}",20,0,-51.951687703506636,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.003, 'e': 0.9588697805724845}",20,0,-8.303930671728969,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.003, 'e': 0.9559974818331}",20,0,-141.49052695345478,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.003, 'e': 0.9531337870775047}",20,0,-32.75792009970033,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.003, 'e': 0.950278670532427}",20,0,-110.3553235919445,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
