trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-224.42235892076792,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.42409892641763,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.57236212762642,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.0838917878835,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.8327514154098,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-211.7511671664158,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.78499948002178,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.25326163670383,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.11261980747336,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.5852003477228,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.24830628613748,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.53998026089775,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.18706310119586,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.33759931252823,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.45492251767504,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.43845450293502,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.00782889429937,"{0: 10, 1: 2, 2: 7, 3: 5, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.76290739942242,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.22322826075498,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,4,-101.53997468278705,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-272.0380737779336,"{0: 20, 1: 0, 2: 9, 3: 2, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.3760899029335,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.63154750195149,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.8174622578812,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-107.60424355279166,"{0: 22, 1: 4, 2: 1, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.18381241697968,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-163.91816248597186,"{0: 13, 1: 0, 2: 10, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.795242742076006,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-50.39577851340306,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,1,-107.00309403414539,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 0}",1
